Designator,Mid X,Mid Y,Rotation,Layer
BT1,30.0,-31.5,180.0,bottom
C1,27.55,-32.5,0.0,top
C2,32.5,-32.5,180.0,top
D1,24.0,-29.5,180.0,top
D2,36.0,-29.5,0.0,top
Q1,37.0,-34.0,0.0,top
Q2,22.0,-34.0,0.0,top
R1,23.0,-26.0,270.0,top
R2,25.5,-26.0,270.0,top
R3,34.5,-26.0,270.0,top
R4,37.0,-26.0,270.0,top
SW1,30.0,-41.5,0.0,top
